OrderID,OrderDate,Store,Category,SubCategory,Sales,Quantity,Discount,Profit,Month,Quarter,Year,MarginPct
105293,2024-01-01,Limerick,Clothing,Kidswear,17.46,2,0.0,7.55,2024-01,2024Q1,2024,0.4324
102695,2024-01-01,Dublin,Clothing,Accessories,186.65,3,0.15,23.95,2024-01,2024Q1,2024,0.1283
103525,2024-01-01,Cork,Clothing,Womenswear,54.72,2,0.15,9.54,2024-01,2024Q1,2024,0.1743
103545,2024-01-01,Limerick,Grocery,Snacks,39.4,1,0.05,10.61,2024-01,2024Q1,2024,0.2693
101502,2024-01-01,Galway,Homeware,Bedding,1080.6,4,0.05,409.0,2024-01,2024Q1,2024,0.3785
101915,2024-01-02,Dublin,Clothing,Footwear,97.27,2,0.15,14.35,2024-01,2024Q1,2024,0.1475
101575,2024-01-02,Dublin,Homeware,Storage,115.61,3,0.0,40.91,2024-01,2024Q1,2024,0.3539
105067,2024-01-02,Cork,Grocery,Beverages,10.4,1,0.0,3.64,2024-01,2024Q1,2024,0.35
104753,2024-01-02,Dublin,Homeware,Furniture,195.55,1,0.0,85.38,2024-01,2024Q1,2024,0.4366
101416,2024-01-02,Limerick,Electronics,TVs,1094.24,2,0.1,174.61,2024-01,2024Q1,2024,0.1596
100620,2024-01-02,Limerick,Electronics,Smart Home,583.4,1,0.1,200.37,2024-01,2024Q1,2024,0.3435
102257,2024-01-03,Cork,Clothing,Footwear,38.52,2,0.05,11.0,2024-01,2024Q1,2024,0.2856
100023,2024-01-03,Limerick,Grocery,Snacks,46.22,3,0.15,4.66,2024-01,2024Q1,2024,0.1008
103355,2024-01-03,Dublin,Grocery,Beverages,15.7,3,0.0,4.19,2024-01,2024Q1,2024,0.2669
101974,2024-01-03,Dublin,Grocery,Bakery,69.97,2,0.0,28.78,2024-01,2024Q1,2024,0.4113
102268,2024-01-03,Dublin,Electronics,TVs,821.74,4,0.2,203.36,2024-01,2024Q1,2024,0.2475
102999,2024-01-03,Cork,Homeware,Lighting,179.32,1,0.0,73.62,2024-01,2024Q1,2024,0.4106
104388,2024-01-03,Galway,Electronics,Laptops,133.41,1,0.0,51.42,2024-01,2024Q1,2024,0.3854
104044,2024-01-03,Dublin,Homeware,Bedding,192.74,4,0.0,67.46,2024-01,2024Q1,2024,0.35
100074,2024-01-03,Dublin,Clothing,Kidswear,13.41,1,0.15,3.26,2024-01,2024Q1,2024,0.2431
106195,2024-01-03,Cork,Homeware,Lighting,103.64,2,0.0,43.52,2024-01,2024Q1,2024,0.4199
