OrderID,OrderDate,Store,Category,SubCategory,Sales,Quantity,Discount,Profit
104191,2025-03-23,Dublin,Clothing,Footwear,71.31,1,0.05,22.42
101148,10-01-2024,Dublin,Clothing,Kidswear,305.77,3,0,105.64
105195,2025-01-16,Dublin,Clothing,Kidswear,77.39,1,0,28.65
105389,2024-02-24,Galway,Electronics,Smart Home,135.2,4,0.15,31.1
100807,21-09-2025,Dublin,Clothing,Accessories,114.82,2,0.05,41.82
102800,2024-12-15,Limerick,Clothing,Menswear,33.25,1,0.05,9.5
105154,22/01/2025,Cork,Clothing,Accessories,182.19,3,0.15,47.11
100942,07-02-2025,Galway,Homeware,Kitchenware,103.24,2,0,37.06
104626,21/07/2025,Dublin,Electronics,Mobile Accessories,120.7,4,0,38.96
105162,2024-07-26,Dublin,Homeware,Bedding,748.97,4,0.05,216.61
100826,2025-12-18,Galway,Grocery,Snacks,141.68,4,0.2,30.46
101886,25-03-2025,Limerick,Electronics,Headphones,604.73,1,0,193.63
105465,19/01/2025,Dublin,Electronics,TVs,1099.93,3,0.2,103.66
104754,2024-11-09,Dublin,Homeware,Lighting,849.08,2,0.1,209.62
104113,26-09-2024,Dublin,Clothing,Kidswear,263.49,2,0.15,42.32
102435,07-05-2025,Dublin,Electronics,Smart Home,112.12,1,0.2,12.21
105365,23-03-2025,Galway,Homeware,Furniture,1015.2,4,0,413.05
104972,31/10/2025,Galway,Homeware,Kitchenware,158.36,2,0.15,38.77
102940,28-07-2025,Limerick,Clothing,Womenswear,30.02,1,0,13.14
101666,21-04-2024,Dublin,Electronics,Headphones,586.74,1,0.05,189.76
102263,01/07/2025,Dublin,Homeware,Bedding,116.62,1,0,36.34
103960,05/01/2025,Cork,Homeware,Kitchenware,483.88,2,0.1,144.86
101008,13/02/2025,Limerick,Grocery,Bakery,45.7,4,0.15,11.14
104672,18/05/2024,Galway,Homeware,Storage,644.12,4,0,195.43
104820,10-10-2025,Dublin,Clothing,Accessories,272.14,4,0,83.06
104510,2024-05-08,Limerick,Electronics,Smart Home,568.88,2,0,200.99
105034,15/12/2025,Dublin,Homeware,Kitchenware,1884.73,4,0.1,360.11
101524,2025-07-01,Cork,Electronics,Smart Home,243.38,1,0.2,56.79
105310,2024-04-18,Galway,Homeware,Storage,715.76,4,0.15,147.5
